Names,Representative Number,newnameIdx,itemcategorycode,itemcategoryname,itemcode,itemname,kindcode,kindname,retail_unit,retail_unitsize,productrankcode
블루베리,144,223,400,과일류,429,블루베리,01,블루베리,g,100,07
블루베리가루,1486,223,400,과일류,429,블루베리,01,블루베리,g,100,07
블루베리주스,2914,,,,,,,,,,
블루베리즙,2816,223,400,과일류,429,블루베리,01,블루베리,g,100,07
비빔면,1290,,,,,,,,,,
비빔밥,3149,,,,,,,,,,
비스킷,2441,,,,,,,,,,
비엔나소세지,437,,,,,,,,,,
비지,438,,,,,,,,,,
비타민,3298,,,,,,,,,,
비타민채소,1411,,,,,,,,,,
비트,43,,,,,,,,,,
비트가루,1489,,,,,,,,,,
비프스톡,1244,,,,,,,,,,
빠네빵,2076,,,,,,,,,,
빵,1041,,,,,,,,,,
빵가루,440,,,,,,,,,,
빼빼로,1720,,,,,,,,,,
뻥튀기,2389,,,,,,,,,,
뽕잎,1397,,,,,,,,,,
뽕잎가루,2571,,,,,,,,,,
사골육수,988,,,,,,,,,,
사과,157,113,400,과일류,411,사과,01,홍옥,개,10,04
사과가루,2651,113,400,과일류,411,사과,01,홍옥,개,10,04
사과잼,442,,,,,,,,,,
사과주스,968,,,,,,,,,,
사과쥬스,1485,,,,,,,,,,
사과청,2661,,,,,,,,,,
사리면,3569,,,,,,,,,,
사우전아일랜드드레싱,851,,,,,,,,,,
사워크림,904,,,,,,,,,,
사이다,446,,,,,,,,,,
사탕,3355,,,,,,,,,,
산딸기,1687,,,,,,,,,,
산야초효소,1854,,,,,,,,,,
산양삼,2727,,,,,,,,,,
산초,1672,,,,,,,,,,
살구,158,,,,,,,,,,
살라미,1152,,,,,,,,,,
살사소스,1126,,,,,,,,,,
삼각김밥,2054,,,,,,,,,,
삼각살,3056,,,,,,,,,,
삼성당,3333,,,,,,,,,,
삼채,2845,,,,,,,,,,
삼치,71,,,,,,,,,,
상추,15,28,200,채소류,214,상추,01,적,g,100,04
새송이버섯,57,110,300,특용작물,317,새송이버섯,00,새송이버섯,g,100,04
새싹,1833,,,,,,,,,,
새싹보리,1998,210,100,식량작물,162,보리,01,보리,g,800,07
새알심,2577,,,,,,,,,,
새우,78,200,600,수산물,654,새우,01,흰다리(수입),마리,10,05
새우가루,2417,200,600,수산물,654,새우,01,흰다리(수입),마리,10,05
새우깡,2565,,,,,,,,,,
새우볶음밥,2071,,,,,,,,,,
새우볼,3192,,,,,,,,,,
새우완탕,3191,,,,,,,,,,
새우장새우,3237,,,,,,,,,,
새우젓,394,196,600,수산물,650,새우젓,00,새우젓,kg,1,04
새우튀김,1218,,,,,,,,,,
새우패티,3188,,,,,,,,,,
샐러드,2142,,,,,,,,,,
샐러드소스,1320,,,,,,,,,,
샐러리,2082,,,,,,,,,,
생강,27,76,200,채소류,247,생강,00,국산,kg,1,04
생강가루,459,76,200,채소류,247,생강,00,국산,kg,1,04
생강술,969,,,,,,,,,,
생강즙,461,76,200,채소류,247,생강,00,국산,kg,1,04
생강차,1693,,,,,,,,,,
생강청,463,,,,,,,,,,
생강초,1694,,,,,,,,,,
생나또,1785,,,,,,,,,,
생선,1843,,,,,,,,,,
생선살,2344,,,,,,,,,,
생선전,2553,,,,,,,,,,
생지,1705,,,,,,,,,,
생취나물,3614,,,,,,,,,,
생크림,489,,,,,,,,,,
생태,490,175,600,수산물,615,명태,01,생선,마리,1,05
샤워크라우트,2848,,,,,,,,,,
샤이니볼,3116,,,,,,,,,,
샤인머스켓,1261,133,400,과일류,414,포도,12,샤인머스켓,kg,2,24
샤프란,2567,,,,,,,,,,
샬롯,1043,,,,,,,,,,
서대,495,,,,,,,,,,
서더리,3350,,,,,,,,,,
석류,159,,,,,,,,,,
석류즙,2392,,,,,,,,,,
석박지,1312,,,,,,,,,,
석이버섯,497,,,,,,,,,,
선지,492,,,,,,,,,,
설렁탕,2400,,,,,,,,,,
설타나,2498,,,,,,,,,,
설탕,226,,,,,,,,,,
설탕시럽,3310,,,,,,,,,,
성게,2267,,,,,,,,,,
성게알,1207,,,,,,,,,,
셀러리,13,,,,,,,,,,
소간,3157,,,,,,,,,,
소갈비양념,1456,,,,,,,,,,
소고기 갈비,123,505,500,축산물,4301,소 갈비,50,갈비,g,100,3
소고기 꼬리,1535,,,,,,,,,,
소고기 등심,121,502,500,축산물,4301,소 등심,22,등심,g,100,3
소고기 막창,3211,,,,,,,,,,
소고기 목심,525,,,,,,,,,,
소고기 부채살,425,,,,,,,,,,
소고기 사골,124,,,,,,,,,,
소고기 사태,122,,,,,,,,,,
소고기 사태살,2340,,,,,,,,,,
소고기 살치살,3036,,,,,,,,,,
소고기 설도,861,503,500,축산물,4301,소 설도,36,설도,g,100,3
소고기 스지,1622,,,,,,,,,,
소고기 안심,120,501,500,축산물,4301,소 안심,21,안심,g,100,3
소고기 안심살,1321,501,500,축산물,4301,소 안심,21,안심,g,100,3
소고기 안창살,977,,,,,,,,,,
소고기 양지,584,504,500,축산물,4301,소 양지,40,양지,g,100,3
소고기 양지살,2169,,,,,,,,,,
소고기 우둔살,515,,,,,,,,,,
소고기 우삽겹,1104,,,,,,,,,,
소고기 차돌박이,752,,,,,,,,,,
소고기 채끝살,3031,,,,,,,,,,
소고기 치마살,3042,,,,,,,,,,
소고기 홍두깨살,3033,,,,,,,,,,
소곱창,1632,,,,,,,,,,
소금,501,,,,,,,,,,
소금물,1120,,,,,,,,,,
소내장,2632,,,,,,,,,,
소다,2352,,,,,,,,,,
소라,441,,,,,,,,,,
소라게,2773,,,,,,,,,,
소면,527,,,,,,,,,,
소보로,1347,,,,,,,,,,
소세지,789,,,,,,,,,,
소스,1103,,,,,,,,,,
소시지,1182,,,,,,,,,,
소주,585,,,,,,,,,,
솔잎,627,,,,,,,,,,
송어,628,,,,,,,,,,
송이버섯,528,,,,,,,,,,
송편,1206,,,,,,,,,,
송화버섯,1388,,,,,,,,,,
수박,160,,,,,,,,,,
수수,101,,,,,,,,,,
수수가루,1536,,,,,,,,,,
수정과,2126,,,,,,,,,,
수제비,1181,,,,,,,,,,
숙주,51,,,,,,,,,,
숙지황,2550,,,,,,,,,,
순대,691,,,,,,,,,,
순두부,502,,,,,,,,,,
순두부찌개,1776,,,,,,,,,,
순무,692,,,,,,,,,,
순살치킨,1102,,,,,,,,,,
숭어,1328,,,,,,,,,,
슈가파우더,550,,,,,,,,,,
스리라차소스,1017,,,,,,,,,,
스위트칠리소스,2393,,,,,,,,,,
스키야끼소스,3165,,,,,,,,,,
스테이크,2585,,,,,,,,,,
스테이크소스,266,,,,,,,,,,
스테이크시즈닝가루,1491,,,,,,,,,,
스트링치즈,201,,,,,,,,,,
스파게티라면,1291,,,,,,,,,,
스파게티면,743,,,,,,,,,,
스파게티소스,874,,,,,,,,,,
스팸,643,,,,,,,,,,
스프,2321,,,,,,,,,,
슬라이스치즈,213,,,,,,,,,,
슬라이스햄,716,,,,,,,,,,
시금치,1,27,200,채소류,213,시금치,00,시금치,g,100,04
시금치페스토,1319,,,,,,,,,,
시나몬가루,475,,,,,,,,,,
시나몬슈가,1403,,,,,,,,,,
시래기,506,,,,,,,,,,
시럽,1402,,,,,,,,,,
시리얼,1056,,,,,,,,,,
시즈닝,1606,,,,,,,,,,
시즈닝가루,1608,,,,,,,,,,
시치미,2187,,,,,,,,,,
식빵,507,,,,,,,,,,
식빵믹스,1551,,,,,,,,,,
식용색소,959,,,,,,,,,,
식용유,508,,,,,,,,,,
식초,231,,,,,,,,,,
식혜,1255,,,,,,,,,,
신선초,2385,,,,,,,,,,
신화당,1877,,,,,,,,,,
실치,951,,,,,,,,,,
실파,509,,,,,,,,,,
실한천,2419,,,,,,,,,,
심미,1064,,,,,,,,,,
싸리버섯,3326,,,,,,,,,,
쌀,95,1,100,식량작물,111,쌀,01,20kg,kg,20,04
쌀가루,336,1,100,식량작물,111,쌀,01,20kg,kg,20,04
쌀국수,728,,,,,,,,,,
쌀국수소스,1129,,,,,,,,,,
쌀눈,3290,,,,,,,,,,
쌀뜨물,885,,,,,,,,,,
쌀튀밥,2280,,,,,,,,,,
쌀풀,3221,,,,,,,,,,
쌈,2488,,,,,,,,,,
쌈무,363,,,,,,,,,,
쌈장,774,,,,,,,,,,
쌍화탕,1087,,,,,,,,,,
썬드라이토마토,1539,,,,,,,,,,
쑥,510,,,,,,,,,,
쑥갓,30,,,,,,,,,,
쑥갓잎,1990,,,,,,,,,,
씀바귀,705,,,,,,,,,,
아가베시럽,701,,,,,,,,,,
아귀,453,,,,,,,,,,
아귀포,2563,,,,,,,,,,
아기된장,1500,,,,,,,,,,
아기소금,1936,,,,,,,,,,
아라비아따소스,2636,,,,,,,,,,
아로니아,702,,,,,,,,,,
아로니아가루,1210,,,,,,,,,,
아로니아분말,1822,,,,,,,,,,
아마란스,1994,,,,,,,,,,
아마씨,756,,,,,,,,,,
아마씨가루,2011,,,,,,,,,,
아몬드,192,112,300,특용작물,319,아몬드,00,수입,g,100,05
아몬드가루,704,112,300,특용작물,319,아몬드,00,수입,g,100,05
아몬드멸치볶음,2872,,,,,,,,,,
아몬드브리즈,2074,,,,,,,,,,
아몬드오일,3649,,,,,,,,,,
아몬드우유,2078,,,,,,,,,,
아보카도,161,155,400,과일류,430,아보카도,00,수입,개,1,04
아사이베리,2915,,,,,,,,,,
아스파라거스,22,,,,,,,,,,
아욱,32,,,,,,,,,,
아이스크림,902,,,,,,,,,,
아이스티,2669,,,,,,,,,,
아이용치즈,1736,,,,,,,,,,
아카시아꽃,3419,,,,,,,,,,
알,1460,,,,,,,,,,
알로에,1648,,,,,,,,,,
알리올리오,1954,,,,,,,,,,
알타리,891,98,200,채소류,279,알배기배추,00,알배기배추,포기,1,04
알타리김치,1147,,,,,,,,,,
애느타리버섯,592,108,300,특용작물,315,느타리버섯,01,애느타리버섯,g,100,04
애플망고,594,,,,,,,,,,
애플민트,596,,,,,,,,,,
애호박,6,37,200,채소류,224,호박,01,애호박,개,1,04
액상스프,2798,,,,,,,,,,
액젓,590,,,,,,,,,,
앵두,162,,,,,,,,,,
야관문,1852,,,,,,,,,,
야끼소바,2499,,,,,,,,,,
야채,931,,,,,,,,,,
야채스톡,3022,,,,,,,,,,
야채육수,3009,,,,,,,,,,
야콘,591,,,,,,,,,,
약과,3111,,,,,,,,,,
양갈비,1665,,,,,,,,,,
양갱,922,,,,,,,,,,
양고기,688,,,,,,,,,,
양고기 등심,3214,,,,,,,,,,
양꼬치소스,2425,,,,,,,,,,
양념,1459,,,,,,,,,,
양념가루,2325,,,,,,,,,,
양념게장,2282,,,,,,,,,,
양념소스,1890,,,,,,,,,,
양념장,1031,,,,,,,,,,
양념치킨,1547,,,,,,,,,,
양미리,593,,,,,,,,,,
양배추,20,26,200,채소류,212,양배추,00,양배추,포기,1,04
양배추가루,2811,26,200,채소류,212,양배추,00,양배추,포기,1,04
양배추즙,2124,26,200,채소류,212,양배추,00,양배추,포기,1,04
양상추,41,217,200,채소류,262,양상추,01,양상추,g,100,07
양송이버섯,53,221,300,특용작물,321,양송이버섯,01,양송이버섯,g,130,07
양송이스프,1059,,,,,,,,,,
양장피,2234,,,,,,,,,,
양조간장,551,,,,,,,,,,
양태,3612,,,,,,,,,,
양파,2,71,200,채소류,245,양파,00,양파,kg,1,04
양파가루,998,71,200,채소류,245,양파,00,양파,kg,1,04
양파기름,2576,,,,,,,,,,
양파김치,3020,,,,,,,,,,
양파껍칠,3055,71,200,채소류,245,양파,00,양파,kg,1,04
양파소스,3178,,,,,,,,,,
양파장아찌,1617,,,,,,,,,,
양파즙,598,,,,,,,,,,
양파청,1078,,,,,,,,,,
양파효소,1246,,,,,,,,,,
양파후레이크,2190,,,,,,,,,,
어린잎,602,,,,,,,,,,
어묵,552,,,,,,,,,,
어묵소스,2991,,,,,,,,,,
어묵육수,1805,,,,,,,,,,
어포,407,,,,,,,,,,
어향소스,1669,,,,,,,,,,
얼갈이 배추,601,30,200,채소류,215,얼갈이배추,00,얼갈이배추,kg,1,04
얼그레이,538,,,,,,,,,,
얼음,2333,,,,,,,,,,
엄나무,1093,,,,,,,,,,
엉겅퀴,1649,,,,,,,,,,
여주,604,,,,,,,,,,
연근,23,213,200,채소류,217,연근,01,연근,g,100,07
연근가루,2099,213,200,채소류,217,연근,01,연근,g,100,07
연근칩,2096,213,200,채소류,217,연근,01,연근,g,100,07
연두부,690,,,,,,,,,,
연어,60,,,,,,,,,,
연어살,2156,,,,,,,,,,
연어장,2378,,,,,,,,,,
연어캔,1155,,,,,,,,,,
연어통조림,606,,,,,,,,,,
연유,203,,,,,,,,,,
연잎,608,,,,,,,,,,
연잎가루,1344,,,,,,,,,,
열갱이,2305,,,,,,,,,,
열기,3432,,,,,,,,,,
열무,34,49,200,채소류,233,열무,00,열무,kg,1,04
열무김치,1014,,,,,,,,,,
열빙어,1004,,,,,,,,,,
염장다시마,2057,,,,,,,,,,
엿기름,1051,,,,,,,,,,
영지버섯,3029,,,,,,,,,,
오가피,1636,,,,,,,,,,
오감자,3127,,,,,,,,,,
오곡,3271,,,,,,,,,,
오골계,708,,,,,,,,,,
오꼬노미야끼,1863,,,,,,,,,,
오꼬노미야끼소스,1136,,,,,,,,,,
오돌뼈,3164,,,,,,,,,,
오디,163,,,,,,,,,,
오디즙,706,,,,,,,,,,
오디청,2582,,,,,,,,,,
오레가노,555,,,,,,,,,,
오레오,1047,,,,,,,,,,
오렌지,164,142,400,과일류,421,오렌지,02,수입,개,10,04
오렌지주스,1077,,,,,,,,,,
오렌지필,1643,142,400,과일류,421,오렌지,02,수입,개,10,04
오리불고기,2549,,,,,,,,,,
오리엔탈 소스,1082,,,,,,,,,,
오만디,709,,,,,,,,,,
오므라이스소스,2871,,,,,,,,,,
오미자,165,,,,,,,,,,
오미자청,1091,,,,,,,,,,
오소리감투,2665,,,,,,,,,,
오이,7,34,200,채소류,223,오이,01,가시계통,개,10,04
오이고추,843,,,,,,,,,,
오이냉국,3071,,,,,,,,,,
오이무침,2104,,,,,,,,,,
오이소박이,1314,,,,,,,,,,
오이장아찌,2002,,,,,,,,,,
오이지,1021,,,,,,,,,,
오이지무침,2587,,,,,,,,,,
오징어,64,181,600,수산물,619,물오징어,01,생선,마리,1,05
오징어먹물,2109,,,,,,,,,,
오징어입,2954,181,600,수산물,619,물오징어,01,생선,마리,1,05
오징어젓갈,760,,,,,,,,,,
오코노미야끼파우더,1865,,,,,,,,,,
오크라,1396,,,,,,,,,,
오트밀,577,,,,,,,,,,
오트밀가루,1635,,,,,,,,,,
오향가루,3462,,,,,,,,,,
옥돔,578,,,,,,,,,,
옥수수,103,,,,,,,,,,
옥수수가루,880,,,,,,,,,,
옥수수면,2897,,,,,,,,,,
옥수수스프,1698,,,,,,,,,,
옥수수식빵믹스,2896,,,,,,,,,,
옥수수유,1601,,,,,,,,,,
옥수수전분,575,,,,,,,,,,
옥수수차,2589,,,,,,,,,,
옥수수콘,504,,,,,,,,,,
올갱이묵,2304,,,,,,,,,,
올리고당,580,,,,,,,,,,
올리브,174,,,,,,,,,,
올리브오일,563,,,,,,,,,,
올리브유,1465,,,,,,,,,,
올방개묵,611,,,,,,,,,,
올스파이스,1324,,,,,,,,,,
옹심이,1985,,,,,,,,,,
옻순,3395,,,,,,,,,,
와사비,582,,,,,,,,,,
와사비가루,2695,,,,,,,,,,
와인,1057,,,,,,,,,,
와플,1001,,,,,,,,,,
와플믹스,2060,,,,,,,,,,
완두배기,1101,,,,,,,,,,
완두콩,107,,,,,,,,,,
완자,2599,,,,,,,,,,
요거트,1984,,,,,,,,,,
요거트드레싱,2583,,,,,,,,,,
요거트파우더,761,,,,,,,,,,
요리당,2752,,,,,,,,,,
요리수,2051,,,,,,,,,,
요리초,1357,,,,,,,,,,
용과,583,,,,,,,,,,
우거지,897,,,,,,,,,,
우니,2375,,,,,,,,,,
우동,1809,,,,,,,,,,
우동사리,868,,,,,,,,,,
우동소스,1812,,,,,,,,,,
우럭,70,,,,,,,,,,
우렁,762,,,,,,,,,,
우무채,1163,,,,,,,,,,
우뭇가사리,777,,,,,,,,,,
우스타소스,763,,,,,,,,,,
우슬,3467,,,,,,,,,,
우엉,25,214,200,채소류,218,우엉,01,우엉,g,300,07
우유,218,516,500,축산물,9908,우유 흰우유,1,흰우유,L,1,1
우족,1626,,,,,,,,,,
울외장아찌,1868,,,,,,,,,,
원추리,764,,,,,,,,,,
월계수잎,614,,,,,,,,,,
월남쌈,2721,,,,,,,,,,
월남쌈소스,1131,,,,,,,,,,
위스키,3266,,,,,,,,,,
유부,615,,,,,,,,,,
유부초밥,1602,,,,,,,,,,
유자,166,,,,,,,,,,
유자가루,2179,,,,,,,,,,
유자소스,1811,,,,,,,,,,
유자잼,1333,,,,,,,,,,
유자청,989,,,,,,,,,,
유자폰소스,2175,,,,,,,,,,
유자필,2177,,,,,,,,,,
유채나물,958,,,,,,,,,,
유청,2799,,,,,,,,,,
육수,1026,,,,,,,,,,
육전,2716,,,,,,,,,,
육포,617,,,,,,,,,,
육회,2342,,,,,,,,,,
율무,104,212,100,식량작물,164,율무,01,율무,g,400,07
은달래,2628,,,,,,,,,,
은어,439,,,,,,,,,,
은행,188,,,,,,,,,,
음료,713,,,,,,,,,,
이까슈마,3132,,,,,,,,,,
이스트,570,,,,,,,,,,
이탈리아시즈닝,571,,,,,,,,,,
인삼,569,,,,,,,,,,
인삼즙,3202,,,,,,,,,,
인절미,1083,,,,,,,,,,
임연수어,72,,,,,,,,,,
잎새버섯,574,,,,,,,,,,
자두,167,,,,,,,,,,
자두청,2232,,,,,,,,,,
자몽,179,,,,,,,,,,
자몽청,1349,,,,,,,,,,
자일리톨,1237,,,,,,,,,,
잡곡,1111,,,,,,,,,,
잡곡밥,1079,,,,,,,,,,
잡채,1036,,,,,,,,,,
잣,187,,,,,,,,,,
장아찌,1108,,,,,,,,,,
장어,73,,,,,,,,,,
장어뼈,2777,,,,,,,,,,
장조림,1172,,,,,,,,,,
재첩,86,,,,,,,,,,
잼,151,,,,,,,,,,
적근대,1271,,,,,,,,,,
적상추,1117,28,200,채소류,214,상추,01,적,g,100,04
적양배추,621,,,,,,,,,,
적채,24,,,,,,,,,,
전,1427,,,,,,,,,,
전갱이,2302,,,,,,,,,,
전란,2512,,,,,,,,,,
전병,2301,,,,,,,,,,
전복,85,,,,,,,,,,
전복장,2042,,,,,,,,,,
전분가루,387,,,,,,,,,,
전어,74,,,,,,,,,,
절편,1525,,,,,,,,,,
젓갈,741,,,,,,,,,,
정종,624,,,,,,,,,,
정향,625,,,,,,,,,,
제피,3423,,,,,,,,,,
제피가루,887,,,,,,,,,,
젤리,1121,,,,,,,,,,
조개,458,,,,,,,,,,
조개관자,847,,,,,,,,,,
조개육수,2800,,,,,,,,,,
조개젓,745,,,,,,,,,,
조기,75,170,600,수산물,614,조기,01,생선,마리,1,05
조랭이떡,1025,,,,,,,,,,
조미김,975,191,600,수산물,641,김,01,얼구운김,장,10,05
조미료,382,,,,,,,,,,
조미술,1258,,,,,,,,,,
조선간장,744,,,,,,,,,,
조청,746,,,,,,,,,,
족발,1251,,,,,,,,,,
죽,2725,,,,,,,,,,
죽순,38,,,,,,,,,,
죽순통조림,2742,,,,,,,,,,
중국당면,995,,,,,,,,,,
중화면,1112,,,,,,,,,,
쥐똥고추,747,,,,,,,,,,
쥐포,778,,,,,,,,,,
쥬키니 호박,842,38,200,채소류,224,호박,02,쥬키니,개,1,04
진간장,755,,,,,,,,,,
진달래꽃,3384,,,,,,,,,,
진미채,576,,,,,,,,,,
진짬뽕,1283,,,,,,,,,,
짜사이,1578,,,,,,,,,,
짜장가루,1039,,,,,,,,,,
짜장소스,2040,,,,,,,,,,
짜파게티,1282,,,,,,,,,,
짬뽕,1627,,,,,,,,,,
쪽파,766,75,200,채소류,246,파,02,쪽파,kg,1,04
쫄면,909,,,,,,,,,,
쭈꾸미,62,,,,,,,,,,
쯔란,2531,,,,,,,,,,
쯔유,754,,,,,,,,,,
차수수,1921,,,,,,,,,,
차슈,3552,,,,,,,,,,
차이브,753,,,,,,,,,,
차조,800,,,,,,,,,,
찰밀가루,3068,,,,,,,,,,
참기름,666,,,,,,,,,,
참깨,667,100,300,특용작물,312,참깨,01,백색(국산),g,500,04
참깨가루,2246,100,300,특용작물,312,참깨,01,백색(국산),g,500,04
참나물,668,,,,,,,,,,
참두릅,1327,,,,,,,,,,
참외,168,33,200,채소류,222,참외,00,참외,개,10,04
참치,2548,,,,,,,,,,
참치마요,3316,,,,,,,,,,
참치액젓,671,,,,,,,,,,
참치통조림,567,,,,,,,,,,
참타리버섯,863,107,300,특용작물,315,느타리버섯,00,느타리버섯,g,100,04
찹스테이크,1610,,,,,,,,,,
찹쌀,98,5,100,식량작물,112,찹쌀,01,일반계,kg,1,04
찹쌀가루,673,5,100,식량작물,112,찹쌀,01,일반계,kg,1,04
찹쌀밥,1532,,,,,,,,,,
찹쌀풀,1002,,,,,,,,,,
창란젓,674,,,,,,,,,,
채수,3210,,,,,,,,,,
천궁,2566,,,,,,,,,,
천사채,807,,,,,,,,,,
천엽,3212,,,,,,,,,,
천일염,549,,,,,,,,,,
청각,1993,,,,,,,,,,
청경채,12,218,200,채소류,263,청경채,01,청경채,g,150,07
청고추,2941,55,200,채소류,242,풋고추,00,풋고추(녹광 등),g,100,04
청국장,677,,,,,,,,,,
청양고추,296,57,200,채소류,242,풋고추,03,청양고추,g,100,04
청어,3548,,,,,,,,,,
청어알젓,1516,,,,,,,,,,
청주,855,,,,,,,,,,
청포도,153,131,400,과일류,414,포도,10,톰슨 미국(~23.5),kg,1,04
청포묵,554,,,,,,,,,,
체다치즈,202,,,,,,,,,,
체리,148,151,400,과일류,425,체리,00,수입,g,100,04
체리청,1684,,,,,,,,,,
초간장,799,,,,,,,,,,
초고추장,854,,,,,,,,,,
초밥,2326,,,,,,,,,,
초밥소스,3148,,,,,,,,,,
초석잠,467,,,,,,,,,,
초코,2037,,,,,,,,,,
초코시럽,1860,,,,,,,,,,
초코청크,898,,,,,,,,,,
초코칩,911,,,,,,,,,,
초코펜,1075,,,,,,,,,,
초콜릿,529,,,,,,,,,,
춘권피,560,,,,,,,,,,
춘장,561,,,,,,,,,,
취나물,47,,,,,,,,,,
치아바타,3117,,,,,,,,,,
치아바타빵,991,,,,,,,,,,
치아시드,470,,,,,,,,,,
치자가루,1379,,,,,,,,,,
치즈,198,,,,,,,,,,
치즈가래떡,2460,,,,,,,,,,
치즈가루,1165,,,,,,,,,,
치즈돈가스,2452,,,,,,,,,,
치즈떡,1741,,,,,,,,,,
치즈볼,2445,,,,,,,,,,
치즈소스,1122,,,,,,,,,,
치즈스틱,2196,,,,,,,,,,
치즈케익,2155,,,,,,,,,,
치커리,35,,,,,,,,,,
치킨까스,3509,,,,,,,,,,
치킨스테이크,1575,,,,,,,,,,
치킨스톡,471,,,,,,,,,,
치킨스틱,1577,,,,,,,,,,
칠리소스,519,,,,,,,,,,
칠리파우더,564,,,,,,,,,,
칡,472,,,,,,,,,,
칡국수,3199,,,,,,,,,,
카놀라유,473,,,,,,,,,,
카다멈,3356,,,,,,,,,,
카라멜소스,872,,,,,,,,,,
카라멜크림,899,,,,,,,,,,
카레,1446,,,,,,,,,,
카레가루,474,,,,,,,,,,
카르다몸,3100,,,,,,,,,,
카스테라,1062,,,,,,,,,,
카스텔라,1384,,,,,,,,,,
카이엔페퍼,1979,,,,,,,,,,
카카오,1596,,,,,,,,,,
카카오닙스,912,,,,,,,,,,
카카오파우더,1484,,,,,,,,,,
칼국수,1289,,,,,,,,,,
칼국수면,1013,,,,,,,,,,
캐러멜,722,,,,,,,,,,
캐러멜시럽,1928,,,,,,,,,,
캐비어,930,,,,,,,,,,
캐슈넛가루,2047,,,,,,,,,,
캡사이신,726,,,,,,,,,,
커리페이스트,1564,,,,,,,,,,
커스터드믹스,2560,,,,,,,,,,
커스터드크림,2336,,,,,,,,,,
커피,573,,,,,,,,,,
커피스틱,1724,,,,,,,,,,
커피액상,1212,,,,,,,,,,
커피우유,2818,,,,,,,,,,
컵케이크,2324,,,,,,,,,,
케이엔페퍼,997,,,,,,,,,,
케이준가루,996,,,,,,,,,,
케이크시트,2790,,,,,,,,,,
케이퍼,727,,,,,,,,,,
케익믹스,3089,,,,,,,,,,
케일,9,219,200,채소류,264,케일,01,케일,g,100,07
케찹,732,,,,,,,,,,
코다리,729,175,600,수산물,615,명태,01,생선,마리,1,05
코앵트로,707,,,,,,,,,,
코울슬로,2715,,,,,,,,,,
코코넛,175,,,,,,,,,,
코코넛가루,1739,,,,,,,,,,
코코넛밀크,730,,,,,,,,,,
코코넛설탕,749,,,,,,,,,,
코코넛오일,733,,,,,,,,,,
코코넛워터,1681,,,,,,,,,,
코코넛칩,1786,,,,,,,,,,
코코넛크림,2415,,,,,,,,,,
코코아가루,734,,,,,,,,,,
콘비스,3152,,,,,,,,,,
콘샐러드,2015,,,,,,,,,,
콘치즈,2455,,,,,,,,,,
콜라,653,,,,,,,,,,
콜라비,44,,,,,,,,,,
콜리플라워,654,,,,,,,,,,
콩,687,6,100,식량작물,141,콩,01,흰 콩(국산),g,500,04
콩가루,1015,6,100,식량작물,141,콩,01,흰 콩(국산),g,500,04
콩고기,655,,,,,,,,,,
콩고물,1180,,,,,,,,,,
콩기름,736,,,,,,,,,,
콩나물,46,220,200,채소류,265,콩나물,01,콩나물,g,300,07
콩단백,1444,,,,,,,,,,
콩물,1068,6,100,식량작물,141,콩,01,흰 콩(국산),g,500,04
콩배기,1374,,,,,,,,,,
콩비지,657,,,,,,,,,,
콩잎,2276,,,,,,,,,,
콩통조림,1370,,,,,,,,,,
콰트로치즈,2462,,,,,,,,,,
쿠스쿠스,2408,,,,,,,,,,
쿠키,2327,,,,,,,,,,
쿨피스,2807,,,,,,,,,,
퀴노아,652,,,,,,,,,,
큐민,656,,,,,,,,,,
크래미,1704,,,,,,,,,,
크래커,994,,,,,,,,,,
크랜베리,147,,,,,,,,,,
크랜베리주스,2912,,,,,,,,,,
크랩,3138,,,,,,,,,,
크런치,2944,,,,,,,,,,
크럼블,3538,,,,,,,,,,
크레미,2968,,,,,,,,,,
크레페,1922,,,,,,,,,,
크로와상,1096,,,,,,,,,,
크림소스,1133,,,,,,,,,,
크림슈트,3272,,,,,,,,,,
크림스프,1696,,,,,,,,,,
크림치즈,207,,,,,,,,,,
크림파스타소스,1955,,,,,,,,,,
키세스초콜릿,2765,,,,,,,,,,
키위,169,139,400,과일류,419,참다래,01,국산,개,10,04
키위드레싱,2193,,,,,,,,,,
키위즙,3220,139,400,과일류,419,참다래,01,국산,개,10,04
키조개,558,,,,,,,,,,
킹크랩,2363,,,,,,,,,,
타르타르소스,955,,,,,,,,,,
타바스코소스,1957,,,,,,,,,,
타임,660,,,,,,,,,,
타코야끼,1607,,,,,,,,,,
타코야끼파우더,3141,,,,,,,,,,
타피오카펄,1740,,,,,,,,,,
타히니,3513,,,,,,,,,,
탄산수,661,,,,,,,,,,
탈지분유,662,,,,,,,,,,
탕,1850,,,,,,,,,,
탕수육,1986,,,,,,,,,,
탕수육소스,2167,,,,,,,,,,
태국고추,664,,,,,,,,,,
탱자,170,,,,,,,,,,
텐카스,3142,,,,,,,,,,
토란,39,,,,,,,,,,
토마토,50,39,200,채소류,225,토마토,00,토마토,kg,1,04
토마토소스,637,,,,,,,,,,
토마토스프,3170,,,,,,,,,,
토마토잼,1502,,,,,,,,,,
토마토주스,2014,,,,,,,,,,
토마토페이스트,663,,,,,,,,,,
토마토퓨레,1097,39,200,채소류,225,토마토,00,토마토,kg,1,04
토마호크,3175,,,,,,,,,,
톳,93,,,,,,,,,,
톳나물,1526,,,,,,,,,,
통깨,547,,,,,,,,,,
통깨가루,2697,,,,,,,,,,
통밀가루,883,,,,,,,,,,
